tok,weight
scheduled,-1.0
('257-February', '7'),1.0
('rations', 'and'),0.0
twelve-layer,-1.0
('which', 'thin'),0.0
('Oomi', '('),2.0
('the', 'revolts'),0.0
(',', 'Takamori'),0.0
('the', 'TongilSilla'),0.0
('junikai', '('),0.0
('embroidery', 'made'),-1.0
('Imazu-cho', ','),0.0
('Ryonin', '('),1.0
('keyhole-shaped', 'grave'),0.0
('1627', ')'),2.0
Oike-dori,-2.0
('a', 'pouch'),-3.0
('Kukai', '('),-1.0
('(', 'Dynastic'),-6.0
('Seii', 'Taishogun'),5.0
('used', 'mainly'),-1.0
('no', 'Ahe'),1.0
Tamura,1.0
('of', 'Tenju'),-7.0
('dragging', 'myth'),2.0
Kitakuwada-gun,-1.0
('seed', 'with'),0.0
Kawachi-Genji,10.0
SHIMOTSUKENU,1.0
('seat', 'among'),0.0
('Nanamagaricho', 'Town'),0.0
Nishi-Maizuru,-4.0
Sekihan,-1.0
('and', 'performing'),0.0
1733-September,0.0
('family', 'living'),2.0
('jutsu', 'is'),-1.0
('and', 'kuzukiri'),-1.0
('haikai', '('),4.0
('High', 'official'),3.0
(')', 'gave'),-1.0
('family', 'register'),-7.0
('current', 'Kutsuki'),-2.0
('daily', 'conversation'),-1.0
Rising,-1.0
('CHIBA', '('),4.0
1308,4.0
Manyo-gana,4.0
9,1733,2.0
('poet', ')'),20.0
('Yusha', '('),1.0
Noritoki,1.0
('era', ','),-6.0
('Ei', 'WADA'),4.0
('Kizushi', 'refers'),-1.0
('stable', ')'),-3.0
('between', 'ancient'),0.0
('during', 'and'),-1.0
('to', 'cross'),0.0
('a', 'tsuitate'),0.0
('a', 'merchant'),5.0
(')', 'villa'),-2.0
('(', '勝介'),1.0
('the', 'Egawa'),0.0
arrest,-1.0
(',', '1688'),0.0
('Chinese', 'Taoism'),-1.0
Razan,-2.0
('a', 'human'),-1.0
('a', 'rhetoric'),0.0
('directory', 'that'),-2.0
dojo,-4.0
('or', '1501'),0.0
(')', 'family'),-4.0
('beheadings', '.'),0.0
('first', 'poetry'),4.0
('the', 'research'),-4.0
SAKAMOTO,0.0
('in', 'salt'),0.0
('is', 'thirteen'),1.0
('the', 'Sakyo'),0.0
Uocchi,0.0
('Sanmon', 'school'),0.0
('fruit', 'trees'),-1.0
('Niomon-dori', 'Street'),0.0
('Morinori', '('),0.0
('1112', ')'),3.0
("'s", 'day'),-2.0
(',', '1626'),4.0
master-subordinate,-2.0
('studies', 'in'),2.0
('(', 'since'),0.0
('Sugaya-yakata', 'Castle'),-4.0
('no', 'Yoshiko'),0.0
('a', 'string'),0.0
Watanabe,-1.0
Kakue,-2.0
('by', 'Shiso'),-3.0
Higashi-Kujo,0.0
('legitimate', 'wife'),5.0
1595,1.0
('Nobutsuna', 'KUTSUKI'),1.0
('the', 'Dairi'),-2.0
candle,-1.0
funded,0.0
(')', 'means'),-30.0
('a', 'chance'),0.0
('family', 'crest'),-2.0
('Bon', 'festival'),-2.0
('extraordinary', 'natural'),-1.0
('Testing', 'Foundation'),-2.0
('Yakushi', 'Pilgrimage'),0.0
('act', 'which'),0.0
('Tumulus', 'located'),-1.0
valuables,0.0
(',', 'hairstyle'),-1.0
urging,-2.0
('with', 'an'),-2.0
('as', 'he'),0.0
('flower', 'arrangement'),-9.0
('and', 'seasonings'),-2.0
('folk', 'techniques'),-1.0
('private', 'collections'),2.0
1653-August,0.0
('Kotsu', 'Corporation'),0.0
('is', 'alternately'),0.0
('hold', 'this'),-5.0
sango,-4.0
('Sekke', ')'),-1.0
('(', 'Blue'),4.0
Taira,-13.0
donkey,0.0
realized,-2.0
('of', 'SOGA'),0.0
monarchs,0.0
Himitsu,-1.0
subsiding,0.0
('in', '1607'),4.0
('ranked', 'by'),-1.0
('Muan', 'Xingtao'),1.0
('Atsumaro', 'KONOE'),1.0
Detachment,0.0
('Keishitsu', 'means'),0.0
('Abdication', 'of'),6.0
Saba-kaido,0.0
('example', '"'),-1.0
('(', 'poem'),5.0
('service', 'is'),-1.0
Fukamizu,-1.0
(',', '1587'),-4.0
('fiber', ')'),0.0
hemp,0.0
('length', 'under'),-1.0
('no', 'Nobukiko'),0.0
('ending', 'with'),1.0
founded,-14.0
('Gozen', '('),1.0
('Buddha', 'statues'),-1.0
kannagi,0.0
('of', 'Rago'),0.0
('706', 'according'),1.0
('Omi-Shiotsu', 'Station'),0.0
Umaya,0.0
(',', 'Yoriai'),-1.0
Obara,0.0
('of', 'All'),-6.0
('of', 'official'),-7.0
('notice', 'of'),-1.0
Hisao,0.0
('bureaucratic', 'system'),-7.0
('in', 'Feng-xiang'),0.0
('Japanese', 'history'),-10.0
('meat', 'in'),0.0
('the', '100th'),0.0
Kamisoko-jinja,0.0
('and', 'high-ranking'),-1.0
('practical', 'founder'),-1.0
Omiya-dori,-1.0
Warawamai,-2.0
('event', 'which'),-1.0
('of', '12'),-1.0
('Dynasty', 'concluded'),0.0
('edict', 'for'),-4.0
('Parade', '('),-1.0
('the', 'fifty-second'),3.0
('The', 'Bunkakosei-kaikan'),-1.0
('earlier', 'Kofun'),0.0
('airs', ','),0.0
('roles', ')'),1.0
('Minbukyo', '('),0.0
superiors,0.0
('mainly', 'in'),-12.0
('"', 'Kanayamahiko-no-kami'),-1.0
("'", 'Kenseigijuku'),2.0
jo,-4.0
('of', 'Gappo'),-3.0
Vixakha,0.0
('national', 'holiday'),-2.0
('Iwakura', 'Shimozaiji-cho'),-3.0
('status', 'system'),0.0
('two', 'theories'),2.0
Kawanuma,-4.0
('Yamashina', '.'),2.0
('1551', '.'),0.0
('private', 'silver'),-1.0
('Okuninushi', '.'),5.0
('a', 'pilgrimage'),-2.0
('Confucianist', 'during'),0.0
('Mizugumo', '('),-2.0
(',', '1682'),6.0
('trees', 'are'),0.0
('fields', '('),0.0
('had', 'under'),0.0
('socially', 'inferior'),5.0
('Manchuria', 'Corrective'),0.0
('Dust', 'in'),-1.0
('the', 'naming'),2.0
('an', 'ingredient'),0.0
('divination', 'based'),0.0
('a', 'retainer'),27.0
('stick', ','),0.0
Taketoshi,1.0
('Empress', 'Reishi'),0.0
('time-honored', 'harbor'),-1.0
('mid-winter', 'season'),0.0
Aizo,0.0
('Emperor', 'Komei'),-3.0
Fukuri,0.0
('clan', ':'),1.0
('fruits', '('),-2.0
('taisho', 'was'),-4.0
('and', 'color'),1.0
lunisolar,-1.0
Oie-sodo,0.0
('Abe', 'clan'),-20.0
('has', 'newly'),3.0
('(', 'small'),-3.0
Saikazaki,-4.0
('662-May', '10'),0.0
('no', 'Otoiratsume'),2.0
('Koizumi-cho', ','),-1.0
('as', 'Bechikan'),0.0
日唐貿易,-1.0
ASADA,-1.0
('Miyoshi', 'Triumvirate'),0.0
('archery', 'technique'),0.0
('yamajiro', '('),-1.0
('of', 'Nejirozaka'),-2.0
('yeast', 'and'),0.0
('corresponding', 'to'),0.0
MIZUNO,5.0
('(', 'army'),0.0
('woman', 'during'),0.0
('Isolation', '('),-1.0
('no', 'Kiyouji'),0.0
('Maria', 'KYOGOKU'),0.0
Motokage,0.0
sometime,-1.0
('are', 'professionals'),0.0
aside,2.0
('poem', 'with'),4.0
Tenrikyo-sect,2.0
('The', 'Ashikaga'),2.0
('Jurin-in', 'Temple'),0.0
('local', 'rulers'),1.0
('persons', 'soul'),0.0
Tadatake,0.0
('yam', '.'),-1.0
('historical', 'materials'),4.0
finance,-4.0
("'", 'people'),-1.0
('Kumiyama', 'Town'),0.0
1225,4.0
('The', 'Fushimi'),0.0
nama-yatsuhashi,-1.0
KATANO,-3.0
('of', 'Keihan'),0.0
('gisho', '('),-1.0
('no', 'Maro'),3.0
('984', ')'),2.0
('Nagayasu', 'ADACHI'),0.0
('(', 'Amitabha'),-1.0
karuta,-1.0
Tokiaki,0.0
('NAMIKI', '&#91;'),1.0
('no', 'Momokawa'),0.0
('being', 'rarely'),0.0
('with', 'missionary'),0.0
('Jun', 'chokusen'),2.0
Takatori-cho,-1.0
('no', 'Sukenari'),1.0
fishing,-4.0
('is', 'abbreviated'),-2.0
(',', '1553'),0.0
('dynasty', 'China'),-1.0
('Konko-shukyo', '('),-1.0
Nenryoshomai,-1.0
train,-7.0
('Hyoro', 'Bugyo'),-5.0
('of', 'Munakata'),-5.0
('Kyoto', 'Umbrella'),0.0
('comics', ','),-1.0
(',', '1867-'),3.0
sun,-1.0
kamaboko,-1.0
('Chuko', 'Bungaku'),1.0
('in', 'Oto'),-1.0
watching,0.0
('the', 'will'),0.0
('the', 'syncretism'),-1.0
('town', 'developed'),0.0
('railways', 'in'),-1.0
Regulations,4.0
KITSUSAN,1.0
(',', 'Sacchodohi'),0.0
('of', 'Seven'),0.0
('the', 'Myoshin-ji'),-1.0
('mainly', 'placed'),0.0
946,2.0
('countries', 'such'),0.0
('meters', 'south'),0.0
gero,-2.0
('conversation', 'and'),-1.0
Chikatomo,3.0
('Corridor', '"'),0.0
('(', 'Panulirus'),0.0
('as', 'nurishi'),-1.0
('deployed', 'in'),0.0
('(', 'probably'),6.0
('Kinkoto', 'IMADEGAWA'),1.0
('or', 'Miyazukasa'),2.0
('waka', 'poetry'),20.0
combat,-2.0
('Manual', ')'),4.0
('saucer', '.'),0.0
('and', 'enjoyed'),0.0
('生食', ')'),-1.0
('a', 'total'),-2.0
('on', 'divination'),0.0
('of', 'Nibantai'),1.0
('king', 'of'),-1.0
('using', 'movable'),3.0
('top', 'tier'),0.0
('when', 'Honmatsu'),0.0
('present', 'Niagara'),-1.0
('of', 'candidates'),0.0
('Oe', 'no'),1.0
('"', 'Shinjitsu'),-1.0
('new', 'one'),-1.0
administratively,0.0
Hirokage,0.0
('Ticket', '"'),0.0
('Naga', 'no'),-4.0
('no', 'Kadonomaro'),0.0
('Homutsuwake', 'no'),0.0
('junior', 'and'),0.0
('which', 'provided'),0.0
lit.,1.0
('sharpened', 'edges'),-3.0
('her', 'guest'),-2.0
('to', 'conquer'),0.0
('grains', 'or'),-1.0
('a', 'living'),-1.0
seem,4.0
('to', 'Chinese'),0.0
Moritoshi,1.0
(',', 'kokuga'),0.0
('setsuwa', '('),4.0
('the', 'Kanto'),-3.0
Sadatoki,0.0
('human-interest', 'stories'),-1.0
('that', 'compiled'),-1.0
('table', 'in'),-1.0
NAGAMATSU,0.0
('time', 'ago'),-1.0
('present', 'Osaka'),2.0
(',', '1691'),4.0
('sent', 'by'),-4.0
('Yasuhide', '('),0.0
('Daishi', 'and'),-2.0
('from', 'Anatomische'),-2.0
Myozen,0.0
('"', 'Toshigoi'),-1.0
(',', 'Mie'),0.0
('the', 'hinin'),5.0
('Danjiri-bayashi', 'is'),0.0
('main', 'part'),-3.0
('the', 'Promotion'),-1.0
('1947', ','),0.0
1598-1673,2.0
('goods', '.'),0.0
('gunji', '('),0.0
('cordially', '.'),-1.0
('qualified', 'to'),0.0
Akikuni,0.0
sanzon,-1.0
('Sekishu', ')'),-2.0
('up', 'their'),1.0
such,-52.0
('or', 'temple'),-1.0
('回向', "'"),-1.0
Motion,0.0
(',', 'Gon'),0.0
assembly,0.0
(',', 'died'),6.0
('no', 'menokami'),0.0
('of', 'view'),0.0
('a', 'full-length'),6.0
('in', 'hot'),0.0
('Bunshichi', 'Mottoi'),-1.0
1488,4.0
('dried', 'fish'),-1.0
('all', 'sleep'),0.0
('HISHIKAWA', '('),1.0
('decision', 'to'),0.0
('Michinaga', ','),3.0
('stewing', 'it'),0.0
tenure,3.0
('(', '1556-January'),0.0
SHIHAN,0.0
games,0.0
('a', 'territory'),-10.0
('line', 'only'),0.0
('Teishi', '.'),0.0
('violent', 'acts'),-1.0
('Shichihakushi', 'Ikensho'),-2.0
Hoshinno,2.0
('Tunnel', 'is'),0.0
('1', 'each'),0.0
('seven', 'temples'),0.0
('were', 'branches'),0.0
Yoriuji,0.0
enemies,-3.0
('Heguri', 'Town'),-1.0
('Arisue', 'TSUCHIMIKADO'),1.0
Yozo,0.0
Nogaku,0.0
Katsuta-gun,-2.0
('line', ','),-3.0
('secretly', 'practiced'),-2.0
Mumongensen,0.0
('steamed', 'green'),0.0
Shinpei,2.0
('sitting', 'mat'),0.0
Japan-Korean,0.0
('graduated', 'in'),0.0
('mai', ')'),-1.0
('of', 'individuals'),0.0
('Rebellion', 'was'),-6.0
Fudokoku,0.0
('Shoko', 'UEMURA'),0.0
Hanamichi,0.0
('the', 'Meijin-sen'),0.0
('Marutamachi', 'stations'),0.0
('rent', '.'),0.0
main,-5.0
('Camille', 'Ghislain'),2.0
Eno,-3.0
('City', '"'),-4.0
('"', 'Hannyashin-gyo'),-2.0
role,7.0
('who', 'performed'),0.0
(',', 'Yosa'),0.0
('Shichimen-tennyo', 'is'),-1.0
('military', 'system'),-1.0
Kaname-ishi,1.0
(',', 'was'),-47.0
('/', 'Noriko'),0.0
ATKINSON,0.0
Jidaigeki,-1.0
Hana,-1.0
('Ran', 'was'),0.0
('(', '1049'),0.0
('Buddhism', 'that'),-1.0
MIYAGAWA,3.0
('detachedly', '('),-1.0
('of', 'Cities'),-1.0
('Meiji', 'that'),-1.0
('(', 'criminal'),0.0
cultivation,0.0
('to', 'ramen'),0.0
('present-day', 'Futami'),-1.0
('Kannongyo', 'is'),-3.0
northwest,-3.0
('Peninsula', 'in'),-3.0
('phase', ','),2.0
('no', 'Funaya'),-1.0
('ANRAKUAN', '('),1.0
('Saga-tenryuji-tsukurimichii-cho', ','),-1.0
('of', 'Korea'),-8.0
('fragrant', 'smoke'),-1.0
('the', 'standard'),-1.0
('the', 'picture'),-5.0
Genin,0.0
('first', 'Koraku'),0.0
('local', 'authorities'),0.0
(',', '785'),3.0
('Great', 'Britain'),-1.0
('gardener', 'who'),0.0
('and', 'KTR'),0.0
('Bolognese', '('),-2.0
spoiled,-1.0
('temple', 'among'),-2.0
('current', 'region'),-1.0
('rice', 'or'),0.0
('sub-temple', 'located'),-3.0
('Sakhalin', 'Development'),0.0
awing,0.0
than,-12.0
(')', 'featured'),0.0
('a', 'monster'),0.0
Table,-3.0
bibliography,0.0
regions,-21.0
('Yoshiie', 'was'),2.0
shaped,-7.0
('official', 'and'),11.0
('Sutra', 'in'),0.0
starts,0.0
Chikamitsu,1.0
('(', 'Fourth'),-3.0
Sotooshihime,2.0
(',', '1997'),0.0
('Maro', '('),5.0
('referring', 'the'),-1.0
('to', '794'),0.0
(',', 'actor'),2.0
('the', 'Hosho-ryu'),2.0
('from', 'Bo'),0.0
('684', ','),-2.0
('a', 'go'),5.0
Tanluan,4.0
('no', 'hakama'),0.0
('Shikibu-sho', '&#91;'),0.0
('Shonai', 'Rebellion'),0.0
various,-9.0
('Hatakeyama', 'clan'),2.0
('a', 'fitting'),0.0
('Ichijo', "'s"),0.0
('1567', ')'),1.0
GOJO,-13.0
('is', 'several'),0.0
('(', '1751'),0.0
('(', '1037'),0.0
('salted', 'down'),0.0
board,8.0
('so', 'it'),-5.0
wins,0.0
('at', 'law'),0.0
('30th', ','),0.0
1973,6.0
('fun', 'with'),0.0
('sho', ','),1.0
('forbade', 'shugo'),0.0
('Dogyu', 'IRAKO'),0.0
('and', '21st'),0.0
('sports', 'and'),-2.0
fugitives,0.0
Noin,0.0
('1428', 'in'),-1.0
('era', 'refers'),-1.0
('Tsunetane', 'DAIGO'),1.0
('geisha', 'apprentice'),0.0
('Nikko', '('),1.0
devastating,0.0
Takamatsuzuka,-1.0
distributed,-8.0
('in', 'Kasa-gun'),0.0
Kanetada,1.0
('Religious', 'Faith'),0.0
Westernization,-1.0
shishi,-1.0
('association', 'was'),-1.0
Kataiko,0.0
('shrines', 'listed'),0.0
('1777', '-'),0.0
('tries', 'to'),0.0
('Takakura-rikkyo', 'is'),0.0
('Tojo', 'is'),3.0
('describing', 'an'),0.0
('a', 'regional'),-6.0
('selected', 'from'),-4.0
('and', 'stops'),0.0
('Imperial', 'Princess'),30.0
('Demons', ';'),-3.0
('are', 'traditionally'),-1.0
('Karakuri', '('),0.0
('onkata', '('),0.0
('the', 'labor'),0.0
('UDAGAWA', '('),1.0
('was', 'published'),7.0
('Kubi', 'jikken'),0.0
('or', 'goods'),0.0
('existence', 'today'),3.0
('Mausoleum', 'of'),0.0
("'", 'Nochi'),4.0
('clock', 'is'),-1.0
1174,6.0
(',', '1801'),1.0
('in', '807'),-5.0
('poison', 'and'),-1.0
('a', 'chief'),-3.0
('or', 'fine'),0.0
('guarding', 'and'),-2.0
('rice', 'omelet'),-2.0
('and', 'rail'),0.0
('Yakushi-do', 'hall'),-1.0
('Tokugawa', 'Gosanke'),-5.0
Country,-1.0
('Karasuma-dori', 'Imadegawa-dori'),0.0
Yanagihara-cho,0.0
secured,0.0
('character', 'code'),1.0
('the', 'camp'),-2.0
('Dutch', 'studies'),9.0
('village', 'belonged'),0.0
('SOEJIMA', '('),0.0
Ningai,0.0
('was', 'hidden'),2.0
('for', 'Shinto'),-2.0
('Tetsuya', 'YAMAMOTO'),2.0
('by', 'Ryukei'),0.0
apotheosis,-2.0
('11th', 'or'),0.0
('Ko', 'Roppa'),-3.0
('and', 'European'),-1.0
('example', '.'),0.0
('medicine', 'practiced'),1.0
Ittan-momen,-3.0
('Kuniko', 'SONO'),0.0
('height', ')'),0.0
('Kanehiro', 'YOSHIDA'),0.0
('刀狩', 'or'),-3.0
('blue', 'mackerel'),-2.0
('in', 'Nijojo-cho'),0.0
('activist', ','),0.0
('Driveway', 'Co'),0.0
('Yone', '('),0.0
ryokan,-1.0
('a', 'yose'),0.0
('tozama', 'daimyo'),1.0
('blooming', 'dates'),0.0
('this', 'mortal'),0.0
('for', 'wafuku'),-2.0
Toshifusa,1.0
('Yomeigaku', 'neo-Confucianism'),1.0
('learning', 'course'),0.0
('in', 'rare'),-1.0
('Tokuhon', 'NAGATA'),0.0
Daishi-do,4.0
led,-20.0
('keeper', 'of'),0.0
('HIRAMA', '('),2.0
column,0.0
('compartment', ')'),-2.0
Yin-Yang,-4.0
('two', 'Courts'),0.0
('Omine', ')'),-1.0
('worn', 'with'),-1.0
('people', 'which'),0.0
('Kimitezuri', 'is'),0.0
('of', 'theatres'),-1.0
('of', 'Tokugawa'),25.0
('以久', ')'),0.0
Private,-3.0
大屋津姫命,-1.0
('framework', 'in'),0.0
('by', 'Ryoko'),-1.0
country,-7.0
Arikazu,0.0
('The', 'Kusunoki'),-1.0
(',', '727'),0.0
('kind', 'tax'),0.0
('or', 'concept'),-1.0
('no', 'Yoritoo'),1.0
('1775', ','),3.0
Jichi,0.0
('Takahata', ','),-1.0
('Takashige', 'MAKINO'),1.0
('1412', ')'),1.0
Kamiyui,0.0
('a', 'canal'),0.0
rights,-2.0
('Đông', 'Du'),-1.0
('and', 'Technology'),-2.0
Goho,0.0
1051,1.0
Jusanmi,-2.0
1668-1738,2.0
('1833', ','),0.0
('(', 'village'),-9.0
('san', 'senke'),-1.0
('Akiyoshi', 'YAMADA'),0.0
('an', 'outdoor'),0.0
('Muromachi-period', 'Buddhist'),1.0
('Koraku', 'OGAWA'),2.0
1605,6.0
Junichi,0.0
('route', 'which'),-1.0
('Shinzan', 'shiki'),2.0
('usually', 'serve'),0.0
('Itsuzan', '('),1.0
('Naoeban', 'is'),4.0
Nagas,-2.0
Kayuzue,-1.0
('for', 'Kidendo'),-4.0
('WASHINOO', '('),1.0
('Toshitada', 'IJUIN'),1.0
terms,-5.0
('of', 'Yoshinaka'),-3.0
('of', 'Tako'),0.0
ukei,0.0
('myth', 'about'),6.0
Jushiinojo,-4.0
Kugokata,0.0
Okame,-1.0
('and', 'dancing'),-9.0
('kaidan', '('),0.0
Kulmus,-2.0
('Takemikazuchi-no-mikoto', ','),0.0
leaving,2.0
originate,-4.0
NIKAIDO,8.0
('1299-1371', ')'),0.0
('a', 'nenshaku'),0.0
OKIDA,5.0
('a', 'topknot'),0.0
('trade', 'carried'),-1.0
('study', 'involving'),-1.0
('Kitakatsuragi', 'County'),-1.0
('imperial', 'inscription'),-2.0
('checkpoints', 'which'),-3.0
Domanmaru,0.0
('(', '大御言'),0.0
('Distillery', 'is'),-2.0
('suteki', '('),0.0
('are', 'taken'),0.0
('to', 'Saisho'),-1.0
('exclusive', 'use'),0.0
Yamato-yasai,-1.0
Jobutsu,0.0
('March', '3'),10.0
('highways', 'to'),0.0
('Shimajiri', 'gun'),-3.0
('a', 'creature'),0.0
avoided,-1.0
Torimono,0.0
('who', 'did'),-2.0
('boiled', 'and'),-2.0
('Tsukumogami', ','),-2.0
('17', '1409'),1.0
('founded', 'Shugendo'),0.0
('including', 'a'),-1.0
('Domain', 'was'),-24.0
('heavenly', 'sins'),0.0
consultant,-2.0
('Tsushinshi', 'is'),-1.0
Kozaburo,1.0
('Eve', 'through'),0.0
('Edo', 'sumo'),0.0
('of', 'Tameyasu'),-8.0
('mythical', 'creature'),-1.0
('1443', ')'),-1.0
('enshrined', 'by'),-1.0
('his', 'studies'),3.0
('to', 'systemized'),0.0
('no', 'Tomomori'),1.0
('dry', 'fields'),-3.0
Panulirus,0.0
('-', '1887'),0.0
('below', 'Dainagon'),0.0
('1494', '-'),0.0
('Matsushima', '('),4.0
Koraibashi,-1.0
('the', 'sweet'),0.0
('legitimate', 'son'),0.0
('means', 'giving'),3.0
('Archipelago', 'excluding'),0.0
('(', 'flower'),-5.0
Daijin,0.0
Myohorenge-kyo,0.0
('Japanese', 'old'),0.0
('myoden', 'by'),0.0
('Gamo', 'County'),-6.0
('Bunin', '('),-3.0
('in', 'Izumi'),0.0
('based', 'in'),-4.0
('size', '.'),-2.0
('(', 'More'),-1.0
('changed', '.'),0.0
broadest,-1.0
('Josai', 'KONO'),0.0
kanzashi,0.0
paths,0.0
(',', 'Mototsune'),1.0
('a', 'weapon'),-2.0
('called', 'Judo'),0.0
shatoku,0.0
('Asahi', 'Beer'),0.0
('Shinano', 'Iida'),0.0
('stiffened', 'with'),0.0
(',', 'Tosashimizu'),-1.0
('fu-han-ken', 'tripartite'),-5.0
('and', 'backgrounds'),0.0
('Shinsen-gumi', ','),-2.0
('the', 'legitimate'),2.0
('"', 'Transportation'),-1.0
Therapy,-6.0
('those', 'three'),0.0
('roof', 'on'),-1.0
('and', 'Shojiro'),-1.0
toraijin,1.0
('Year', 'calendar'),-1.0
('866', ','),-4.0
('of', 'door'),0.0
('sugared', 'water'),-2.0
('/', 'hyohoka'),-1.0
('22', '1901'),1.0
achieved,-2.0
('the', 'sixty-fourth'),1.0
('SANUKI', 'no'),0.0
Umeyama-kofun,0.0
('year', 'old'),0.0
('and', 'Confucianism'),1.0
('Shomyo', '('),2.0
('Tosho-ke', '"'),-8.0
('nozoki', '('),-2.0
('Yodo', 'Domain'),5.0
Hozen,0.0
('MIMURODO', '('),1.0
('Kanpaku', 'in'),1.0
('Go-saga', '.'),0.0
('system', '.'),-29.0
('to', 'exist'),-2.0
("'", 'Sanshu'),0.0
(',', '484'),0.0
('Nara', 'city'),-1.0
Shigehide,2.0
('to', 'Okura-sho'),-1.0
('Seiin', 'was'),-1.0
('told', 'as'),0.0
('Yoshika', '('),0.0
Rintaro,0.0
(',', '1327'),0.0
occasions,0.0
Leaves,1.0
('ke', "'"),0.0
('other', 'variety'),0.0
('painting', 'associated'),-1.0
('and', 'loyal'),0.0
('Kuninaga', '('),1.0
('Jikendan', '('),0.0
('no', 'gi'),6.0
('Nichiryu', '('),1.0
('pealing', 'their'),0.0
('for', 'cultural'),0.0
('ancient', 'time'),3.0
Haruakira,0.0
('opponent', 'to'),-1.0
('i.e.', ','),-2.0
('Imperial', 'universities'),0.0
('his', 'childhood'),0.0
(',', 'provisionally'),-1.0
average,0.0
Kitayama,-3.0
('Toba-Fushimi', 'from'),0.0
vihara,0.0
('paper', 'in'),-1.0
794,-6.0
('sect', 'Buddhist'),4.0
('unknown-1589', ')'),1.0
sprig,0.0
('三上', '政実'),1.0
Kuguminato,1.0
('Takakage', 'KYOGOKU'),0.0
('is', 'Hanashika'),0.0
('Mesolithic', 'period'),0.0
now,1.0
('a', 'Rinzai'),0.0
(',', 'falling'),0.0
1444,1.0
中務省,-3.0
('book', '.'),-2.0
('the', 'British'),0.0
('appellation', 'for'),0.0
tourism,0.0
('with', 'smashed'),-1.0
Seto,-1.0
Otoshi,-2.0
('wide', 'range'),-1.0
('1565', ')'),0.0
('(', 'Xingxing'),0.0
Ebi,-1.0
Deputy,-3.0
(',', 'Okusanomiya'),1.0
syllable,9.0
('Saishoji-cho', ','),-1.0
honzon,-5.0
Tojiin,0.0
('and', 'general'),1.0
('and', 'female'),0.0
('without', 'collateral'),-1.0
('an', 'another'),-4.0
('YAMAGUCHI', '('),5.0
('in', 'important'),0.0
('yield', ')'),-6.0
('1587', 'organized'),0.0
Kobun,-2.0
('up', 'around'),-1.0
('no', 'Motomori'),1.0
Teiki,2.0
('Chaki', 'is'),-1.0
('ostracism', 'caused'),-2.0
('Keiun-kan', 'is'),0.0
('Eio', '('),2.0
('Konnyaku', '('),0.0
('the', 'hundred'),4.0
('or', 'Shiai'),-2.0
('Kaijusen-ji', 'Temple'),0.0
('bridge', 'spanning'),-1.0
('character', '.'),0.0
('(', '1688'),1.0
('festival', '('),-3.0
Arare,0.0
('day', '('),1.0
shuri,0.0
('that', 'deprived'),-1.0
('Japanese', 'shingeki'),0.0
(',', '958'),-3.0
('wakashu', 'is'),4.0
('a', 'homage'),0.0
('Men', ','),-1.0
('1096', ','),1.0
('9th', 'century'),0.0
('theoretical', 'physical'),1.0
Makishima-jo,-1.0
('927-June', '16'),0.0
Yoriharu,0.0
('altar', 'to'),-1.0
sukego,0.0
('monk', 'Shinran'),4.0
shisso,0.0
('1605-March', '11'),3.0
('jam', ','),-1.0
('May', '24'),1.0
('originally', 'synonymous'),0.0
('It', 'is'),9.0
('made', 'a'),-2.0
('Notes', 'Lamenting'),0.0
('Tadafuyu', 'TAKATSUKASA'),0.0
('"', 'Genji'),14.0
('Battle', 'of'),-50.0
('"', 'Fundoshi'),0.0
('tai', 'zong'),-4.0
('Shukyo', 'Dantai'),0.0
('Kameyama', 'Domain'),14.0
('also', 'read'),-1.0
('"', '黴雨'),0.0
('Yoshitoki', 'HOJO'),0.0
('Kyoto', 'Shoin'),-2.0
Onsho,0.0
('commendation', 'to'),-1.0
('Classification', 'of'),0.0
('Tsukuri', 'monogatari'),0.0
('A', 'poem'),2.0
('Himatsuri', 'clan'),1.0
('in', 'Shimogyo'),-3.0
('activist', 'in'),1.0
('kill', 'or'),0.0
1819-1888,1.0
Half-Marathon,0.0
('a', 'jizamurai'),0.0
('Wei', 'Kingdom'),1.0
('tokonoma', 'is'),0.0
('no', 'Kurahashimaro'),1.0
('traditional', 'sweet'),0.0
('June', '26'),5.0
平中物語,0.0
Izo,0.0
('is', 'active'),4.0
('the', 'Kan-in'),0.0
('1934', ')'),2.0
('party', 'such'),0.0
('Zen', '.'),-1.0
('nipononivea', ','),0.0
('Russia', 'declared'),-5.0
('debt', 'cancellation'),0.0
('for', 'silver'),0.0
Koten,-4.0
Dashi,-1.0
('when', 'plays'),0.0
('Omonoimi', 'no'),-1.0
('Kanadehon', 'Chushingura'),-1.0
('railcars', '.'),0.0
communications,0.0
('Kahei', 'SASAKI'),1.0
Gomurakami,3.0
('Kunika', '('),0.0
('smith', 'and'),0.0
('Street', 'was'),-2.0
('political', 'conservatives'),1.0
('SHIMAZU', '.'),4.0
('Shoto', 'was'),-3.0
('early', '730'),2.0
('disturbances', 'occurred'),0.0
('Court', 'during'),15.0
infant,-1.0
('(', 'southern'),0.0
('officer', 'under'),0.0
('the', 'Tokudaiji'),0.0
Frois,0.0
('Mikotonori', '"'),-2.0
('an', 'anti-Japanese'),0.0
('Magaibutsu', '"'),0.0
('calabash', 'or'),-4.0
('sect', 'priest'),9.0
Tale,197.0
('poetry', 'or'),0.0
('Nantokagami-jinja', 'Shrine'),-1.0
