tok,count
"KANZAKI",1
"settl",2
"Akune-in",1
"Akune",1
"司執印氏図嘉房",1
"Nitta-jinja",1
"Satsumasendai",1
"Kanzaki",4
"AKUNE",1
"Sandai",3
"yakushi-do",1
"Bhaisajyaguru",1
"Ohana",1
"valuabl",1
"congratulatori",1
"-1082",1
"Kuninobu",2
"FUSHIMINOMIyA",1
"Mayl",1
"MAKUWARI",1
"c.1398",1
"Tsukiyama",2
"Shiroyama",1
"yamatotakada",1
"circular",4
"rear-end",2
"rectangular",5
"frontag",2
"Naritsugu",1
"Narutsugu",1
"Fusatomo",1
"1695",3
"okimi",4
"Shigenaga",4
"ASUKE",1
"Ukanomitama",1
"edibl",1
"cyanobacteria",1
"blue-green",1
"liquor",6
"Okame",1
"swollen",1
"Shofu-haikai",1
"Tsuneaki",1
"KASHUJI",5
"1373",1
"KITAGAKI",1
"Sechi-",2
"unequ",2
"Zoshi",6
"Oden",4
"WASA",1
"Hisatsu-him",1
"比佐津媛",1
"yoso-jinja",1
"Oaza-Hidaka",1
"Hita",1
"1352",10
"Shogun-kokenshoku",1
"sosaishoku",1
"shugoshoku",1
"subsect",1
"Daio",1
"ohi",1
"Morinori",1
"1320-1363",1
"yakushiji",1
"Kichijoten",1
"zo",1
"Kisshoten",1
"Laksmi",1
"yakushi-ji",2
"Mikoshi",2
"togyo",1
"Saga-Arashiyama",1
"Tenryuji",4
"Kurumamichi-cho",1
"Masaka",1
"Saikyuki",2
"Saiguki",1
"Takaakira",1
"Shokaku",1
"Sanenobu",1
"1496-October",1
"Keiken",1
"cum",4
"Mameitagin",1
"Tozo",1
"744",2
"Jikkoku-bun",1
"pleasur",2
"yumekobo",1
"Gekkeikan",1
"Kinkoto",1
"Baigyoku",1
"yukisada",1
"Protest",1
"colleg",1
"reorgan",4
"Cours",1
"drunk",1
"Amanohabaya",1
"Umewaka-ryu",1
"1954",3
"Shushi",3
"unknown-Novemb",4
"688",2
"exil",5
"Hakusukino",2
"yoshimichi",4
"Tsutsumi",2
"Hatamoto-yoriaiseki",1
"greater",4
"retire",1
"yakuyoriai",1
"hoi",1
"Shuho",2
"Shirogoro",1
"Nenyo",1
"Sawayama",1
"Furusawa-cho",1
"Kuhon-ji",2
"Funai",3
"Hisai",1
"1370",2
"Shimogamohigashi-dori",1
"Mansaku",2
"Rokusonno-jinja",1
"Ogawatsuki-jinja",1
"Umaji-cho",1
"Kindai",1
"shakaku",1
"Komuro",4
"Azai",3
"Komuro-cho",1
"Previous",1
"Azai-cho",2
"Higashiazai",1
"Bonenkai",1
"forget-the-year",1
"chanc",1
"hardship",1
"endur",1
"forget",1
"upcom",1
"Heiji",4
"began",8
"1159",4
"antagon",1
"Tsuka",1
"pile",1
"509",1
"571",2
"29th",1
"539",4
"Azuke",1
"detent",1
"pend",1
"Bukeho",1
"Shugai",1
"Sanjurokkasen",2
"Toshimichi",5
"fiefdom",1
"Naisogata",1
"Segaki",1
"Hiki",2
"Heichu",2
"平中物語",1
"平仲物語",1
"Tenchu-gumi",3
"Aveng",1
"bunch",1
"rose",2
"Muneakira",2
"HONJO",8
"1782",5
"kominka",1
"yukitsuna",1
"Hanpen",1
"suketo",1
"cod",3
"Alaska",1
"Pollock",1
"grate",3
"yam",2
"Shichinosuk",1
"Kinmitsu",1
"Takeda-ryu",1
"Kyuba-gunrei",1
"Kojitsu",1
"Kugoin",1
"auxiliari",1
"Oiryo",1
"Kitchen",3
"Inooku-koen",1
"Senzoku",1
"Ishimori",1
"Sanjunoto",1
"Shari",1
"Real",1
"Hisa",1
"Progress",5
"AyUKAWA",1
"1967",3
"Senko-ji",2
"Heguri-cho",3
"Status",1
"Egyo",1
"Tokuta",1
"巨勢徳多",1
"658",3
"1675",4
"Masaru",2
"Shigaji",2
"Netherland",1
"Onnagoroshi",1
"Abura",1
"Jigoku",2
"Kazuyoshi",1
"Kyuan",1
"Hundred-Poem",1
"sequenc",1
"Sutokuin",1
"863",3
"guidelin",1
"Atsuko",3
"Ichikaiso",1
"Kinri-goshuei-sotoku",1
"Governor-gener",4
"Sekkai-bogyo-shiki",1
"Osaka-wan",1
"HITOTSUBASHI",1
"Kyoto-shugoshoku",1
"Kyoto-shoshidai",1
"Deputi",2
"Sadaaki",2
"INA",2
"-1600",1
"Inukai",1
"Hirotoji",1
"762",1
"Kakukai",3
"Enjo",1
"1345",4
"Sothern",1
"Junsai",1
"Brasenia",1
"schreberi",1
"Ryuteki",1
"Honmonkaidan-no-Daigohonzon",1
"yoshinaga",4
"Himono",1
"Azuchi-jo",2
"flatland-mountain",1
"hirayamajiro",1
"Shimotoira",1
"OSARAGI",1
"protagonist",2
"Tamago",3
"kake",1
"gohan",3
"yorifun",1
"drift",2
"ashor",2
"mishap",1
"Sukenaga",2
"JO",1
"unknown-1181",1
"Suehid",1
"1548-Juli",1
"Soy",1
"Sueto",2
"KODAIRA",1
"KAKIZAKI",2
"Bakefurugeta",1
"Baketafurugeta",1
"geta",1
"footwear",2
"clog",1
"Shakanyorai",1
"Shikyajirai",1
"Shakamuni-butsu",2
"Kudonshittaruta",1
"Gautama",1
"Siddhaartha",1
"Gotama",1
"Siddhatthaa",1
"Pali",2
"Giccho",1
"smash",2
"swing",2
"cane",1
"mallet",1
"Kotoamatsukami",1
"Creation",1
"Rensho",1
"Tokuso",5
"Rokkaku-dori",1
"Kantaro",1
"Neng",1
"misho",1
"heart-to-heart",1
"subt",1
"smile",1
"sage",2
"Shakyamuni",2
"Kashitaro",3
"Gekken",1
"Shinai",2
"Kenjutsu",2
"Bujutsu",1
"character-build",1
"sharpen",1
"Monk",4
"Ryojun",2
"942",1
"Tamemitsu",2
"Kocho-Junisen",1
"963",2
"Saneakira",2
"His",3
"Shoden-ji",1
"Nishigamo",1
"Ukifun",1
"Aikata",1
"Goshin",1
"Genmyo",2
"Kyureki",1
"Morosuk",4
"protocol",3
"Arisugawa",4
"Taruhito",1
"Higashi-Maizuru",6
"yoichi",1
"7,1977",1
"Tamehisa",1
"Sakuden",1
"ANRAKUAN",1
"Hachinin-shu",1
"elit",2
"Seib",1
"KAWANISHI",1
"industrialist",1
"Amada",1
"Naiki",1
"yakamochi",1
"c.718",1
"Kusatsu",4
"Tsuge",1
"Mitsuyo",1
"URAMATSU",1
"Mito-jinja",1
"Teradamitosaka",1
"Junzo",1
"GO",1
"1825-Decemb",1
"Saisekki",1
"microlith",1
"Hari",1
"-kuyo",1
"broken",1
"nearbi",1
"Saneoki",2
"1398-April",2
"kubo",1
"yotsutsujinomiya",2
"Tokuzen",2
"Jingikan",5
"kamizukasa",1
"kanzukasa",1
"yoshijima",1
"yagura-cho",1
"Misho",1
"Ippo",1
"Ujiko",1
"Ienaga",3
"1170",4
"1234",5
"Takasada",2
"KAKINOMOTO",1
"Hitomaro",1
"dichotomi",1
"hare",1
"ke",2
"world-view",1
"Shorin-in",2
"Kagu",1
"tonenjo",1
"tonenzokusho",1
"honmyojo",1
"kigen",1
"year-reckon",1
"tenson",1
"korin",1
"Seinei",2
"444",1
"480",1
"twenty-second",1
"yorisada",3
"Higechaya-oiwak",1
"Otsukaido",1
"diverg",1
"yamashina-oiwak",1
"Origin",2
"gośīrşa",1
"Gion-shoja",1
"Jetavana",1
"monasteri",2
"1054",1
"1114",3
"yasakatom",1
"Kisakigami",1
"Takeminakata",2
"SUE",1
"1468",3
"Ohi",2
"臣",1
"Danjiri",1
"dashi",5
"Hiiragi-iwashi",2
"holli",2
"sprig",1
"ryokucha",1
"lchá",1
"Ashio",3
"Riot",2
"Copper",2
"Mine",3
"Hongan",1
"Ubusuna",1
"address",3
"Genichiro",1
"FUKUCHI",1
"1841-Januari",1
"journalist",3
"Tsuneyoshi",1
"Hikokuro",1
"1793",3
"兵法家",1
"heihoka",1
"hyohoka",1
"Katsuemon",1
"chigyo",4
"800",2
"222.4",1
"Kikujiro",1
"Asuka-kyo",2
"Kaiso",2
"Gien",3
"Giin",2
"Tuneshig",1
"Shinsosai",1
"haori",1
"Amako",1
"Chikushi",2
"Munakata-gun",1
"Anekoji",1
"Otoshiyori",2
"Joro-otoshiyori",1
"Kaisan-do",1
"ron",1
"prevail",2
"Kuraki",1
"230,000",1
"expand",2
"Isogo",1
"bijutsu-shi",1
"explan",2
"economi",2
"Satodairi",1
"Heian-kyu",1
"Natsui",1
"Kataiko",1
"1084",2
"Saneyasu",1
"Sakuragi",3
"tayu",3
"courtesan",3
"yujo",4
"Courtesan",1
"SF",2
"Convent",4
"Kamiyui",1
"hairdress",2
"Kiyonari",3
"Hidejiro",1
"ONOGI",2
"Nov",1
"Enyu",1
"959",2
"sixty-fourth",1
"Westin",1
"highest-class",1
"Higashiyama-sanjo",1
"Furukawa-cho",1
"Sanjoyamato-oji",1
"Kudaru",1
"Suemun",1
"1049",2
"Seibo",1
"seibo",1
"Sowa",1
"Iemoto",2
"Hazama",1
"393",2
"475",1
"Kiminori",1
"Sometim",1
"Kinnori",3
"Mochiki",1
"Toshihito",2
"Kagehiro",1
"Tokusen",1
"Shinmyocho",1
"jinmyocho",1
"Jinmyocho",1
"Regist",3
"Mai",2
"circl",6
"Naritoshi",2
"Shimohiraya",1
"Motomori",2
"Masakata",2
"MASHIyAMA",1
"Tokomaro",1
"OIKAWA",1
"Shigemichi",1
"1161",4
"Hyakumanben",2
"Higashi-ura",1
"Hirono-cho",2
"Daizen-ji",1
"somebodi",1
"Ujikiyo",1
"1391",3
"Warlord",1
"Nagat",1
"771",1
"edif",2
"fealti",1
"Hishihanabira",1
"Water",3
"sticki",5
"confectionari",3
"burdock",1
"pink",1
"Turkish",1
"delight",1
"Sakato-jo",1
"large-sc",1
"Minamiuonuma",1
"Noryo-yuka",1
"Noryo-doko",1
"yodo-gawa",10
"kawayuka",1
"Kifun",1
"Takao",2
"kawadoko",1
"Chawan-mushi",1
"yoshifusa",4
"10,1614-October",1
"1,1685",1
"HATANO",3
"Kitsu-onsen",1
"Kitsu",1
"Nichiyo",1
"Tomonobu",3
"KAIGA",1
"yazaemon",1
"47",2
"Doken",1
"HONEKAWA",1
"Sanyojo",1
"算用状",1
"散用状",1
"kuji",4
"proprietari",1
"shokan",4
"718",1
"770",3
"forty-sixth",1
"758",2
"Ietoshi",1
"1465-1531",1
"Noto",1
"yamamura",1
"767",4
"Mitsugoro",3
"VII",1
"Shinkan",3
"1341",3
"Fukamizu",1
"Kokiden",1
"Ano",2
"Sumiyoshi-angu",1
"Sumiyoshi",3
"Okatabira",1
"Kadono",1
"summon",2
"Kingyozak",1
"familiar",4
"weak",2
"kingyo",1
"goldfish",1
"Narrow",1
"Deep",1
"travelogu",1
"Nabeshima",1
"Tsuzuki",1
"Gagaku",3
"Sogamonogatari",1
"Tora",1
"Gozen",2
"1175-",1
"lover",1
"Uwanari",1
"Calligraphi",2
"Byodoin",2
"Hoshokan",1
"Tsuguhito",1
"yomotsu-shikom",1
"SHUHO",2
"Rikkyoku",1
"Kaicho-ji",1
"Haidara",1
"Daiei",1
"Motion",1
"Pictur",5
"2002",2
"Utakai",1
"Morofusa",1
"Toru",3
"HOSHI",1
"享",1
"亨",1
"incorrect",1
"Kanjuro",2
"Garasha",1
"Ujisha",1
"ujigami",1
"Luli",2
"律令",1
"律例",1
"Arisu",1
"1527-Januari",1
"Wakamurasaki",1
"quir",2
"HIGASHIBOJO",3
"Kamishichiken",2
"Kaburenjo",2
"Shido-shogun",1
"Takenunakawa",1
"wake",1
"Kibitsuhiko",2
"tanbamichi",1
"nushi",2
"Atagoyama",3
"Kiyotaki",3
"funicular",2
"Kiyotakigawa",1
"Sugen-in",1
"Ninjo-banashi",1
"Wakaayu",1
"spong",1
"semicircl",1
"mark",6
"fin",2
"Kuinabashi",1
"Kuriyama",1
"Ikenobo",1
"ryuto",1
"suspici",3
"repositori",2
"kanga",2
"Suzakumon",1
"745",1
"784",1
"grid-pattern",1
"Ansho-ji",1
"Hiyoku",1
"irimoya-zukuri",1
"Somen",2
"somen",2
"Chemulpo",1
"Yi",8
"ishikawa",2
"sukun",3
"1828-March",1
"Osho",1
"upādhyāya",1
"misso",1
"confidenti",1
"astrolog",3
"Takenouchi",2
"Isohara",1
"Amatsukyo",1
"katakana",1
"HEGURI",3
"Matori",2
"TAKENOUCHI",4
"Buretsu",2
"Chinshin-ryu",1
"Hirado",1
"Sobayonin",1
"1207",3
"yamanot",1
"Mochizuki-jo",1
"Kanei-bunka",1
"sandwich",2
"Momoyama-bunka",1
"Genroku-bunka",1
"Echigo-Nagaoka",1
"Daisuk",2
"661-1",1
"Aza-goku",1
"Fudo-son",1
"Acala",1
"Tsunemori",2
"1172-1213",1
"Settlement",2
"exterritori",1
"Ansei",3
"Five-Pow",1
"Kinaki",3
"1744-Novemb",1
"Korai",1
"karamono",1
"Shigeyoshi",3
"Katayama",1
"Banri",1
"HOASHI",1
"Keiseiron",1
"draft",2
"zoyo",1
"Ikedaya",2
"8,1864",1
"peacekeep",1
"Inn",1
"Sanjou-Kobashi",1
"Sanjou-Street",1
"Utano",1
"Kaminotani-cho",1
"Bunko",1
"Hirano-jinja",1
"Nainokami",1
"859-Decemb",1
"Shingon-shu",1
"Minsen",1
"Setsuritsu",1
"Kenpaku",1
"petit",9
"parliament",2
"democratically-elect",1
"Shojiro",2
"Umitsu-Michi",1
"Senzai",1
"Framework",3
"Climat",5
"COP3",2
"Session",2
"1997",3
"Internat",4
"consensus",1
"emiss",1
"greenhous",1
"gase",1
"Mitsuyoshi",7
"TERADA",1
"torii",2
"kekkai",1
"Ogura-jinja",1
"Obi",2
"belt-lik",1
"Syakkonichi",1
"Siyakukonichi",1
"Hachigokusotsushin",1
"Hachigokusosshin",1
"onmyodo",1
"contract",2
"Masatam",1
"Mizuam",1
"mucoid",1
"saccharifi",1
"acid",1
"diastat",1
"enzym",4
"Sengaku",2
"Gasetsu",1
"Morinari",1
"1627",4
"Teahous",1
"1665",1
"Zuiko-ji",1
"Seinan",1
"priesthood",6
"Masatada",4
"kyogen-sakusha",1
"Nishitakase-gawa",1
"yoshimochi",2
"Ariyo",1
"Kitayama",3
"961",2
"Futodama",1
"Kitano-tenmangu",1
"Saion-ji",1
"Ketto",1
"!",2
"Takadanobaba",2
"Duel",1
"MITANI",1
"Nijojo-ma",1
"Nijojo-cho",1
"Totsun",1
"835",2
"888",4
"Inso",1
"Hinduism",3
"gestur",1
"Gyokushu",1
"KUWAyAMA",2
"Posit",1
"Inka",1
"yakitori",1
"bite-s",1
"chunk",1
"skewer",4
"5th",3
"Hidetada",3
"Gomizunoo",4
"Judo",2
"1935-",1
"ryu",3
"Shite",1
"Dozo",1
"storehous",2
"mud",1
"finish",1
"plaster",1
"succession",1
"Izumi-ryu",2
"Izumi-school",1
"Shojoke-in",1
"complement",1
"Ei",1
"Tomioka",1
"989",2
"Rokushu",1
"Rikushu",1
"Totsuka",1
"yoshio",4
"Michisu",1
"1090",2
"1128",2
"Mata",1
"kokoni",1
"Hanadashi",1
"Kiyomoto",1
"Theatric",2
"Torajiro",1
"Sakugoro",1
"HIRASE",1
"botanist",2
"Kurotani",1
"Magura",2
"Languag",1
"Izume",1
"Ryoseikoku",2
"Soyocho",1
"Damj",1
"Goguryeo",2
"Natari",1
"788",2
"Aritsun",1
"Seijin-shiki",2
"invit",2
"adulthood",1
"fiscal",1
"bless",2
"Gio-ji",1
"Daikakuji",4
"Min",2
"Fuhonsen",1
"Futosen",1
"683",5
"Kinhiro",1
"Kawase-jinja",1
"Teizo",1
"WADO",1
"yasuiko",2
"848",1
"thirty-first",2
"Saigu",2
"Hikosaburo",1
"IBUKA",1
"fuda",1
"427",1
"291",2
"392",1
"Kodai",1
"Akitsun",1
"Nenbutsu-tog",1
"Nenbutsutog",1
"568",1
"Takushoku",1
"Kabushiki",2
"Gaisha",1
"coloni",2
"Omi-jingu",1
"majest",1
"run-down",1
"Die",1
"75",2
"73",1
"reckon",1
"HATOyAMA",1
"Mimasaka-Katsuyama",1
"Mimasaka",5
"lawyer",1
"Tataki",2
"tatakitsuchi",1
"beaten",5
"lime",1
"solidifi",3
"HATA",5
"Kimiharu",1
"Kutsuki",3
"Jakunyo",1
"Higisho",1
"ordeal",1
"Tekka",2
"red-hot",1
"aarya",1
"avalokitezvara",1
"Kusuko",2
"Kiyoka",1
"Iwatsutsunoo",1
"Ihatsutsunowo",1
"Nankaku",1
"1683",2
"1759",2
"high-calib",1
"Mongaku",1
"Oyakodon",1
"warishita",1
"mirin",7
"TOSA",2
"1434-June",1
"Kaitai",2
"Shinsho",5
"Ontleedkundig",2
"Tafelen",2
"Anatomisch",1
"Tabellen",1
"German",1
"Kulmus",1
"Kakejiku",1
"mount",2
"tokonoma",2
"alcov",2
"1507-Juli",1
"1531",4
"1965",4
"hoshu",3
"Chukichi",1
"swordsmith",1
"Docho",2
"Bansho",3
"builder",1
"Jugorigahara",1
"Kagekatsu",4
"DAIHOJI",1
"MOGAMI",1
"TOZENJI",1
"Arimitsu",2
"Katsuragawa",1
"Kuze-higashi-tsuchikawa",1
"yamada-nishiki",1
"Heian-ji",1
"Chosen",1
"Tsushinshi",1
"Makino",8
"Kocho",3
"specialist",4
"Nise",1
"Inaka",1
"unfinish",1
"gokan",1
"bound-togeth",1
"Tanehiko",1
"RyUTEI",1
"Naonobu",1
"1607-May",1
"Teigyo",1
"Nohgakushorin",1
"Chiyoda",1
"nogaku",1
"Shomotsu-bugyo",1
"Doko",3
"Machi-koji",1
"townspeopl",2
"underground",2
"Ienobu",3
"Anegawa",2
"Azai-gun",1
"Nomura-cho",1
"Nomura",1
"Azai-machi",1
"Higashiasai-gun",1
"Tobei",3
"smith",2
"teppo",3
"Goshu",2
"envis",1
"Ono-dera",1
"Muro-mura",1
"Taikei",1
"cartograph",1
"Kohata",1
"Kyoｔo",1
"Kyukyodo",1
"long-establish",2
"yUGE",2
"Ganpo",1
"aonyobo",1
"Sokuikanjo",1
"Ichikawa-ryu",1
"yamakag",1
"824",2
"sandoshiyori",1
"juninshu",1
"machi-doshiyori",1
"Nagahama-jo",1
"miuchibito",1
"butler",2
"Eighth",2
"Sadatoki",2
"Umeyama",1
"Kunisada",1
"1786-",1
"Oike-dori",2
"thoroughfar",1
"Takeru",3
"日本武尊",1
"倭建命",1
"Ousu",2
"小碓命",1
"Oguna",1
"日本童男",1
"Keiko",2
"Tanemichi",2
"Tsunesada",1
"825",2
"Moronaka",1
"1116",3
"Kenbu",1
"Bochu",1
"margin",3
"Mushin",1
"SUGIWAKA",1
"Shinsai",1
"IGARASHI",1
"MIKAWA",1
"Monument",4
"Minbu",1
"taifu",1
"-1640",1
"1605-March",1
"1672",4
"Japanese-Sino",1
"Qu",1
"punch",1
"Nagaya",2
"Hideko",2
"946",2
"yasutoshi",2
"TAKU",1
"1636",5
"Jugoi",3
"Okazaki-koen",2
"MOMAK",1
"Independ",2
"Suetoo",1
"1513-Septemb",1
"Rotensho",1
"露天商",1
"Fumikag",2
"SODEOKA",4
"Jige-k",3
"lower-",2
"Otogi",1
"Tadakuni",2
"IJUIN",4
"Naginata",1
"wield",1
"naginata",4
"pole",3
"shaft",1
"certifi",4
"41",1
"Kamu-oichi-him",1
"Tenka",3
"天下",1
"tenga",1
"teng",1
"amenoshita",1
"Donryu",1
"Ebizo",1
"yamazaki-bashi",1
"yamasaki-hashi",1
"Iemasa",2
"TAGAyA",1
"Kudara-ji",1
"Koryo-cho",2
"Seizan-Fukakusa",1
"Seigan-ji",1
"yamab",2
"Todoza",1
"autonom",3
"Arakan",1
"arhat",1
"saint",1
"elig",2
"chariti",1
"Shoryo",2
"Daihoyo",1
"Nijuichidaishu",1
"Shinshoku",1
"Ninos",1
"Ri",1
"Ekuri",1
"578",1
"shoji",6
"32",1
"kitakata",1
"kitabisashi",1
"Eijitsu",1
"yorii",3
"Ryoo",1
"DOKAKU",1
"contributor",3
"welfar",2
"Kazuragi",1
"Omi-Miyagawa",1
"Miyagawa",2
"Miyashi-cho",1
"MATSUOKA",2
"1764",3
"Bishamon-do",1
"Equestrian",1
"bajutsu",1
"recreat",2
"drive",2
"accuraci",1
"1430-May",1
"Suzuhiko-him",1
"Bell",1
"regenc",1
"monopol",2
"chancellor",2
"nairan",1
"inspect",2
"Torimi",1
"falconri",2
"Wasan",2
"Aza-Monju",1
"Hozen",1
"EIRAKU",1
"1795-Septemb",1
"kyo-yaki",1
"Shinga",1
"valley",1
"Nyu-gawa",1
"Gojo-shi",1
"376",1
"453",2
"413",1
"Ichijo-dori",2
"Manabu",1
"TOyA",1
"Chuyuki",1
"Nakamikado",6
"50",3
"1087",3
"Masahiro",6
"INUI",1
"乾",1
"正厚",1
"kinnoka",1
"Machi-bugyo",1
"judicatur",1
"machi-kata",1
"Masahid",2
"Kyusaku",1
"MATSUZAWA",1
"Bussokusekika",1
"Bussokuseki",1
"Footprint",1
"thousandth",1
"Nukadehim",1
"664",1
"Asagao",1
"Morn",1
"Glori",1
"Noshi",2
"Juhachiban",1
"Danjuro",3
"Tojo",3
"sphere",3
"absorb",1
"Taikan",2
"Ikkansai",1
"KUNITOMO",2
"Kohichiro",1
"Katsub",1
"Okugo",1
"Hasshoji",1
"Keta",1
"ATO",2
"Akafu",1
"Mibu-dera",2
"1651-March",1
"Tsunayoshi",2
"OZUKI",2
"Suetsugu",1
"小槻",1
"季継",1
"kanjin",2
"Hakuo",1
"Imamairi",1
"tsubon",5
"Shichu-hikimawashi",1
"sutefuda",1
"Mozuku",1
"Nemacystus",1
"decipien",1
"Spermatochnacea",1
"Chordariacea",1
"Chordarial",1
"Morouji",2
"HOSAKAWA",1
"seiden",1
"shoden",1
"Kori",1
"Kadono-gun",2
"Tokii",2
"Kodama",6
"spatula",1
"spatula-lik",1
"bone",3
"mayb",1
"fifty-sixth",2
"1144-August",1
"Shosuk",1
"勝介",1
"Nakatoko",1
"651",2
"Denzaburo",1
"FUJITA",3
"heavyweight",2
"Fujita",1
"conglomer",1
"wise",1
"renounc",1
"urink",4
"Eikoin",1
"1704",5
"Tsuneosa",4
"Although",2
"Genbanosuk",2
"Kaki",2
"Zassho",1
"Karei",1
"Kashuji",1
".....",1
"Mansenhim",1
"fifteen",1
"Grade",6
"....",1
"Tempo",1
"Ugayafukiaezu",2
"entir",4
"Narichika",2
"NANBA",2
"Montoku",4
"koi",1
"Accountant",1
"Keag",1
"Ishizu",2
"Akiie",1
"Have",1
"Mishaguji",1
"MIyAKAWA",1
"629",2
"Funenomuraji",1
"Tajihi",1
"Kuchikami-sak",1
"chew",1
"spit",2
"hyakusho",1
"hyakusei",1
"omitakara",1
"Mitsusu",3
"IGA",4
"-June",2
"光季",1
"光末",1
"Arikuni",1
"943",3
"1011",4
"Hanachirusato",1
"yodo-jo",1
"NURIBE",1
"Tomos",1
"Soro",1
"RyU",1
"TATSU",1
"Itowappu",1
"Honmatsu",2
"Karita-rozeki",1
"Katta-rozeki",1
"刈田狼藉",1
"promulg",4
"Saiku",1
"vestal",1
"virgin",1
"Nishinokyo-cho",1
"Tanko",1
"Chosei",1
"1091",1
"tomei",1
"karana",1
"correspond",9
"Bangumi",1
"sixty-four",1
"extant",3
"municipal-level",1
"bangumi",1
"Mizuho-cho",1
"Hotoke-gozen",1
"1160-1180",1
"Shirabyoshi",3
"Gojo-cho",1
"Jianzhen",1
"Honmachi-dori",1
"Villa",3
"staircas",1
"Broadcast",1
"Limit",3
"KBS",1
"Ryohen",2
"1194-October",1
"Kamishimo",1
"Tomohisa",1
"Kannagi",1
"巫",1
"神なぎ",1
"神和ぎ",1
"・",3
"神薙ぎ",1
"神凪",1
"kaminagi",1
"kamunagi",1
"1167",1
"1230",2
"Zenami",1
"1386",3
"Hirokoji-dori",1
"Morotoki",1
"Tomosada",1
"Motoyuki",2
"二階堂",1
"基行",1
"Kyusho-ji",1
"Fumimichi",1
"Kusamochi",1
"Isshiki",3
"Nakatomi",1
"-approxim",1
"Nakatomi-cho",1
"essayist",4
"櫓",1
"Kame",1
"Kodaireki",1
"Jotenkaku",1
"Tomotan",1
"SOMA",4
"Seawe",1
"若布",1
"和布",1
"稚海藻",1
"裙蔕菜",1
"Undaria",1
"pinnatifida",1
"Alariacea",1
"Hatto",1
"Shotetsu",1
"1381-June",1
"poet-monk",2
"Morokan",1
"Gunsei",1
"Gun",2
"intermedi",1
"Sagamu",2
"From",3
"Shunshi",1
"monjosho",1
"Naritada",1
"923",4
"Jogan-ji",1
"Owaki-cho",1
"Higashiomi",2
"yokaichi",1
"Kenmitsu",1
"taisei",2
"hypothesi",1
"Toshio",3
"Hirosawa",1
"NAGOyA",1
"Kakizoe-jo",1
"Sanpaku",1
"INAMURA",1
"yAGyU",2
"Anahob",2
"hashihito",1
"tamashii",1
"suzuri",1
"spook",3
"Election",1
"interfer",2
"elect",1
"elimin",1
"Kaigan",1
"km",4
"Coast",1
"Tajima-mihonoura",1
"Inlet",1
"Tottori-sakyu",1
"Sand",1
"Dune",1
"Takeisao-jinja",1
"halfway",3
"Funaoka",3
"yasunari",2
"Samida",1
"Kawai-cho",1
"Kitakatsuragi-gun",3
"BKC",1
"Chushin",1
"ZEKKAI",1
"Kyo-no-Miyako",1
"Iki",1
"aesthet",7
"stir-fri",2
"chop",1
"butter",1
"demi-glac",1
"Muneira",1
"Nezumi",1
"komon",1
"haruno",1
"shingata",1
"Okochi",3
"yorimasa",3
"Okochi-go",1
"Aza-Okochi",1
"Ohira-cho",1
"yokoyama",1
"yokoyama-sho",1
"Osato",1
"Bakezori",1
"Tsukumogami",2
"discard",2
"apparit",3
"zori",1
"thong",1
"sandal",2
"Oguromaro",1
"733-Juli",1
"Aoso-za",1
"aoso",1
"Boehmeria",1
"nipononivea",1
"fiber",2
"Chigomag",1
"chigowag",1
"hairstyl",10
"punit",1
"Gokogu-jinja",1
"Gokonomiya-jinja",1
"Josuk",1
"UBA",1
"Hannyashin-gyo",1
"Hiken",1
"Jigo",1
"HIGASHIFUSHIMI",1
"Русско-японская",1
"война",1
"Russian",6
"Montenegro",2
"Then",1
"Princip",1
"Russia",4
"Taiki",1
"Uji-sadaijin",1
"Ryousaku",1
"560",3
"587",6
"Bidatsu",3
"KASUGA",2
"Ominago",1
"Aritoshi",1
"Hyatt",1
"Regenc",1
"Sanjusangendo",1
"Numaki",1
"iribim",3
"Nunaki",1
"Talki",1
"Seisaku-jo",1
"1937",4
"Sukehid",1
"Rurikei",1
"Valley",1
"Moritoki",2
"bugyonin",1
"Kinuji",1
"Nisso",1
"boeki",1
"yahei",2
"ebi",1
"spini",1
"lobster",2
"Panulirus",1
"japonicus",1
"Parimurida",1
"Decapoda",1
"Sansetsu",2
"Gomashio",1
"sesam",1
"Kinuta",1
"MIyAKO",2
"Sadatsugu",1
"791-June",1
"Seyaku-in",1
"pharmaci",1
"ryogenokan",1
"Chido",1
"1736-Decemb",1
"Hidetaro",1
"Wakiokan",1
"luggag",1
"Michika",1
"1722-",1
"Shiratama",1
"shiratamako",2
"Jo",2
"丈",1
"Nichigenn-boueki",1
"Nanshinron",1
"southward",2
"Rissho",1
"Ankoku-ron",1
"Ryogen-in",1
"yAMATA",1
"Furutsugu",1
"Tashiraka",1
"OKOMA",1
"Momo",1
"Sanmi",1
"大島",1
"光義",1
"yasuaki",1
"Akazom",1
"Emon",1
"956",2
"nyobo",2
"Naoteru",1
"Imo-yokan",1
"dine",1
"IKEHIRO",1
"fortress",1
"watchtow",1
"Ominesan-ji",1
"Amakawa-mura",1
"SHINODA",1
"1821-1902",1
"Ikomanimasuikomatsuhiko-jinja",1
"Sanpitsu",1
"Shomono",1
"Nijugozanmai",1
"Desicc",1
"enhanc",1
"storag",1
"Michinokuchinokih",1
"道口岐閉国造",1
"Michinokuchinokihekokkuzo",1
"Sai",2
"Shodaibu",2
"Shokuyo-giku",1
"yukikuni",1
"1081",3
